title:https://app.videointerview.io/login   onContentLoad:439.00899999425747   onLoad:802.3679999751039
resource_type,response_size,time_total,blocked,dns,ssl,connect,send,wait,receiv
document,0,62.4260000186041,2.3510000220276415,-1,-1,-1,0.19799999999999995,59.18499999514036,0.6920000014360994,
script,0,0.07199999527074397,-1,-1,-1,-1,0,0.060999998822808266,0.0109999964479357,
script,0,0.060999998822808266,-1,-1,-1,-1,0,0.04299997817724943,0.018000020645558834,
script,0,0.05900001269765198,-1,-1,-1,-1,0,0.04400001489557326,0.014999997802078724,
script,0,0.05599998985417187,-1,-1,-1,-1,0,0.04199999966658652,0.013999990187585354,
script,0,0.050000002374872565,-1,-1,-1,-1,0,0.04099999205209315,0.009000010322779417,
script,0,0.05099998088553548,-1,-1,-1,-1,0,0.03899997682310641,0.01200000406242907,
image,0,0.07500001811422408,-1,-1,-1,-1,0,0.062000006437301636,0.01300001167692244,
font,0,0.0790000194683671,-1,-1,-1,-1,0,0.06600000779144466,0.01300001167692244,
font,0,0.063000014051795,-1,-1,-1,-1,0,0.05199998850002885,0.011000025551766157,
font,0,0.059999991208314896,-1,-1,-1,-1,0,0.048999994760379195,0.0109999964479357,
font,0,0.062000006437301636,-1,-1,-1,-1,0,0.051000009989365935,0.0109999964479357,
font,0,0.05599998985417187,-1,-1,-1,-1,0,0.04600000102072954,0.00999998883344233,
font,0,0.058999983593821526,-1,-1,-1,-1,0,0.04999997327104211,0.009000010322779417,
font,0,0.05900001269765198,-1,-1,-1,-1,0,0.04800001624971628,0.0109999964479357,
font,0,0.06700001540593803,-1,-1,-1,-1,0,0.05800000508315861,0.009000010322779417,
font,0,0.05400000372901559,-1,-1,-1,-1,0,0.04400001489557326,0.00999998883344233,
font,0,0.05400000372901559,-1,-1,-1,-1,0,0.04400001489557326,0.00999998883344233,
font,0,0.05299999611452222,-1,-1,-1,-1,0,0.0439999857917428,0.009000010322779417,
font,0,0.07399998139590025,-1,-1,-1,-1,0,0.062000006437301636,0.011999974958598614,
font,0,0.05699999746866524,-1,-1,-1,-1,0,0.046999979531392455,0.010000017937272787,
font,0,0.05399997462518513,-1,-1,-1,-1,0,0.0439999857917428,0.00999998883344233,
document,-1,68.44299999647774,3.570000007139519,-1,-1,-1,0.13699999999999996,63.79000000377744,0.9459999855607748,
script,0,5.050000007031485,3.182999989202246,-1,-1,-1,0,0.5540000026132912,1.3130000152159482,
script,0,1.8210000125691295,1.2330000173933804,-1,-1,-1,0,0.26699999564513566,0.3209999995306134,
script,0,1.7009999719448388,1.0239999779462814,-1,-1,-1,0,0.2149999976661056,0.4619999963324517,
image,-1,27.72099999128841,1.9169999764766543,-1,-1,-1,0.248,25.104999985823408,0.45100002898834646,
script,0,2.0589999912772328,1.3059999974351377,-1,-1,-1,0,0.2920000051241368,0.46099998871795833,
script,0,2.1600000036414713,1.3260000074245035,-1,-1,-1,0,0.308999985832721,0.5250000103842467,
other,-1,30.740000016521662,4.583000014189631,-1,-1,-1,0.15300000000000002,25.531000009551644,0.4729999927803874,
other,0,31.875000015133992,1.3400000099148601,-1,-1,-1,0.16500000000000004,29.97499999518879,0.39500001003034413,
